Career,Category,InterestKeywords,Description,IdealAudience,EntryPaths,CoreSkills,ToolsTech,Roadmap,12WeekPlan
Software Engineer,Software & Data,"AI/ML, APIs, CI/CD, algorithms, analytics, automation, cloud, coding, databases, debugging, microservices, version control","Software Engineer focuses on AI/ML, APIs, CI/CD, algorithms, analytics and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
Backend Developer,Software & Data,"AI/ML, APIs, CI/CD, algorithms, analytics, automation, cloud, coding, databases, debugging, microservices, version control","Backend Developer focuses on AI/ML, APIs, CI/CD, algorithms, analytics and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
Frontend Developer,Software & Data,"AI/ML, APIs, CI/CD, algorithms, analytics, automation, cloud, coding, databases, debugging, microservices, version control","Frontend Developer focuses on AI/ML, APIs, CI/CD, algorithms, analytics and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
Full-Stack Developer,Software & Data,"AI/ML, APIs, CI/CD, algorithms, analytics, automation, cloud, coding, databases, debugging, microservices, version control","Full-Stack Developer focuses on AI/ML, APIs, CI/CD, algorithms, analytics and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
Mobile App Developer,Software & Data,"AI/ML, APIs, CI/CD, algorithms, analytics, automation, cloud, coding, databases, debugging, microservices, version control","Mobile App Developer focuses on AI/ML, APIs, CI/CD, algorithms, analytics and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
DevOps Engineer,Software & Data,"AI/ML, APIs, CI/CD, algorithms, analytics, automation, cloud, coding, databases, debugging, microservices, version control","DevOps Engineer focuses on AI/ML, APIs, CI/CD, algorithms, analytics and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
Site Reliability Engineer (SRE),Software & Data,"AI/ML, APIs, CI/CD, algorithms, analytics, automation, cloud, coding, databases, debugging, microservices, version control","Site Reliability Engineer (SRE) focuses on AI/ML, APIs, CI/CD, algorithms, analytics and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
Cloud Architect,Software & Data,"AI/ML, APIs, algorithms, analytics, automation, cloud, coding, databases, debugging, version control","Cloud Architect focuses on AI/ML, APIs, algorithms, analytics, automation and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
Database Administrator,Software & Data,"AI/ML, APIs, ETL, SQL, algorithms, analytics, automation, cloud, coding, dashboards, databases, debugging, version control","Database Administrator focuses on AI/ML, APIs, ETL, SQL, algorithms and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
Data Engineer,Software & Data,"AI/ML, APIs, CI/CD, ETL, SQL, algorithms, analytics, automation, cloud, coding, dashboards, databases, debugging, microservices, version control","Data Engineer focuses on AI/ML, APIs, CI/CD, ETL, SQL and delivers value through practical projects, collaboration, and measurable outcomes in the Software & Data domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Programming, Data Structures, System Design, Databases, Cloud Basics, Testing, Problem Solving","Python, JavaScript/TypeScript, Git, Docker, SQL, Linux, Cloud (AWS/GCP/Azure)","Explore: Learn fundamentals of programming and CS basics. | Learn: Take a structured course; practice daily coding problems. | Build: Create 3–5 portfolio projects with readmes and tests. | Collaborate: Contribute to open-source and join developer communities. | Apply: Tailor resume, practice interviews, target internships/junior roles. | Advance: Add system design, cloud, and security; mentor others.","Week 1: Set up dev environment, learn syntax, and solve 20 basic problems. | Week 2: Data structures (arrays, strings, hash maps); start a small CLI app. | Week 3: Algorithms (sorting, searching); build a REST API. | Week 4: Databases & SQL; connect API to a relational DB. | Week 5: Front end fundamentals; create a simple SPA consuming your API. | Week 6: Deploy to cloud (free tier); add CI with GitHub Actions. | Week 7: Testing (unit/integration); refactor and document. | Week 8: Build a second project with authentication & authorization. | Week 9: Pick a specialization (data, backend, mobile, ML) and start a niche project. | Week 10: Networking & community; 2 OSS pull requests. | Week 11: Resume/portfolio polishing; mock interviews. | Week 12: Applications sprint; measure and iterate."
